text,tweet_id,created_at,like_count,retweet_count,reply_count,quote_count,username,follower_count,location,lang,is_retweet,text_clean,text_processed,year,month,weekday,hour,engagement
"""Leading a country is a privilege, not a business opportunity.""~ Captain Ibrahim Traore https://t.co/zY6rDvBMJn",1921062280940191824,2025-05-10 04:38:34+00:00,11849,2656,194,169,AfricanHub_,1175704,Africa,en,False,leading a country is a privilege not a business opportunity captain ibrahim traore,leading country privilege business opportunity captain ibrahim traore,2025,5,Saturday,4,17524
Children always look for every opportunity to return to God,1984857596847677869,2025-11-02 05:38:22+00:00,256949,30557,1080,913,FinestDoveTruth,10793,"Wymondham, England",en,False,children always look for every opportunity to return to god,child always look every opportunity return god,2025,11,Sunday,5,320056
"""Leading a country is a privilege, not a business opportunity."" ~ Ibrahim Traore (President of Burkina Faso) https://t.co/UM5XIBY56u",1909536571440701686,2025-04-08 09:19:30+00:00,16714,4635,319,333,AfricanHub_,1175704,Africa,en,False,leading a country is a privilege not a business opportunity ibrahim traore president of burkina faso,leading country privilege business opportunity ibrahim traore president burkina faso,2025,4,Tuesday,9,26636
"“Leading a country is a privilege, not a business opportunity “- Captain Ibrahim Traore. https://t.co/qGgNxtDRl9",1874021145722446302,2024-12-31 09:13:53+00:00,7353,2286,171,151,Joe__Bassey,374441,"Parrot Island, Africa.",en,False,leading a country is a privilege not a business opportunity captain ibrahim traore,leading country privilege business opportunity captain ibrahim traore,2024,12,Tuesday,9,12247
"We did it, Mississippi! We just eliminated the income tax!

Today is a day that will be remembered — not just for the headlines, not just for the politics, but for the profound, generational change it represents.

Today, I was proud to sign into law a complete elimination of the https://t.co/wMsS59JGyz",1905392204803440654,2025-03-27 22:51:16+00:00,111174,17097,5744,3329,tatereeves,96894,"Flowood, MS",en,False,we did it mississippi we just eliminated the income tax today is a day that will be remembered not just for the headlines not just for the politics but for the profound generational change it represents today i was proud to sign into law a complete elimination of the,mississippi eliminated income tax today day remembered headline politics profound generational change represents today proud sign law complete elimination,2025,3,Thursday,22,154441
MARK THIS TWEET! THIS IS THE LAST TIME @SakajaJohnson WILL EVER HOLD ANY ELECTIVE POSITION IN NAIROBI OR IN KENYA. SAKAJA YOU WILL BE MY BUSINESS UNTIL YOU GET OUT OF THAT SEAT! I WILL DRAG YOU EVERY OPPORTUNITY I GET. SHOGA WEWE! UMBWA KABISA,1934971196946387094,2025-06-17 13:47:38+00:00,8427,3328,149,26,A_Njambi,13488,,en,False,mark this tweet this is the last time will ever hold any elective position in nairobi or in kenya sakaja you will be my business until you get out of that seat i will drag you every opportunity i get shoga wewe umbwa kabisa,mark tweet last time ever hold elective position nairobi kenya sakaja business get seat drag every opportunity get shoga wewe umbwa kabisa,2025,6,Tuesday,13,15258
"“Leading a country is a privilege, not a business opportunity “ https://t.co/fapE2aNwmr",1871992471271731335,2024-12-25 18:52:39+00:00,12533,3705,141,226,cecild84,66505,#WeAreAllAfricanStream ,en,False,leading a country is a privilege not a business opportunity,leading country privilege business opportunity,2024,12,Wednesday,18,20310
"Yaw Dabo, one of the smartest guys you never underrate. Always will steal an opportunity to pitch his business https://t.co/FLso96j5Yg",1984000144522801606,2025-10-30 20:51:10+00:00,14886,1306,107,29,SaddickAdams,1268850,"Accra, Ghana",en,False,yaw dabo one of the smartest guys you never underrate always will steal an opportunity to pitch his business,yaw dabo one smartest guy never underrate always steal opportunity pitch business,2025,10,Thursday,20,17634
"the american flag colors, all black dancers, samuel l jackson as uncle sam. LIKE WHY ARENT WE TALKING ABOUT THIS. i get the a minor shit is cool but kendrick actually used this opportunity to say something, that is so unbelievably huge.",1888781771539353652,2025-02-10 02:47:20+00:00,456448,46585,2595,1284,_itmedumbo,365,"Toronto, Ontario",en,False,the american flag colors all black dancers samuel l jackson as uncle sam like why arent we talking about this i get the a minor shit is cool but kendrick actually used this opportunity to say something that is so unbelievably huge,american flag color black dancer samuel jackson uncle sam like arent talking get minor shit cool kendrick actually used opportunity say something unbelievably huge,2025,2,Monday,2,553497
"This is an opportunity to put them out of business.
Open your own restaurant and drastically drop the price...
Abi don't you want to make money?",1974493862748885039,2025-10-04 15:16:35+00:00,7495,1890,169,54,MrWalexzy,4905,Aba-Osun- Home of Krones ,en,False,this is an opportunity to put them out of business open your own restaurant and drastically drop the price abi don't you want to make money,opportunity put business open restaurant drastically drop price abi want make money,2025,10,Saturday,15,11498
"I awoke this morning gravely concerned about New York City. I thought “What has NYC become that an avowed socialist who has supported defunding the police, whose solution to lowering food prices is city-owned supermarkets, who doesn’t understand that freezing rents will only",1938094628034506984,2025-06-26 04:39:02+00:00,31171,4585,5781,1482,BillAckman,2404744,"New York, NY",en,False,i awoke this morning gravely concerned about new york city i thought what has nyc become that an avowed socialist who has supported defunding the police whose solution to lowering food prices is cityowned supermarkets who doesnt understand that freezing rents will only,awoke morning gravely concerned new york city thought nyc become avowed socialist supported defunding police whose solution lowering food price cityowned supermarket doesnt understand freezing rent,2025,6,Thursday,4,47604
