text,tweet_id,created_at,like_count,retweet_count,reply_count,quote_count,username,follower_count,location,lang,is_retweet
"""Leading a country is a privilege, not a business opportunity.""~ Captain Ibrahim Traore https://t.co/zY6rDvBMJn",1921062280940191824,Sat May 10 04:38:34 +0000 2025,11849,2656,194,169,AfricanHub_,1175704,Africa,en,False
Children always look for every opportunity to return to God,1984857596847677869,Sun Nov 02 05:38:22 +0000 2025,256949,30557,1080,913,FinestDoveTruth,10793,"Wymondham, England",en,False
"""Leading a country is a privilege, not a business opportunity."" ~ Ibrahim Traore (President of Burkina Faso) https://t.co/UM5XIBY56u",1909536571440701686,Tue Apr 08 09:19:30 +0000 2025,16714,4635,319,333,AfricanHub_,1175704,Africa,en,False
"“Leading a country is a privilege, not a business opportunity “- Captain Ibrahim Traore. https://t.co/qGgNxtDRl9",1874021145722446302,Tue Dec 31 09:13:53 +0000 2024,7353,2286,171,151,Joe__Bassey,374441,"Parrot Island, Africa.",en,False
"We did it, Mississippi! We just eliminated the income tax!

Today is a day that will be remembered — not just for the headlines, not just for the politics, but for the profound, generational change it represents.

Today, I was proud to sign into law a complete elimination of the https://t.co/wMsS59JGyz",1905392204803440654,Thu Mar 27 22:51:16 +0000 2025,111174,17097,5744,3329,tatereeves,96894,"Flowood, MS",en,False
MARK THIS TWEET! THIS IS THE LAST TIME @SakajaJohnson WILL EVER HOLD ANY ELECTIVE POSITION IN NAIROBI OR IN KENYA. SAKAJA YOU WILL BE MY BUSINESS UNTIL YOU GET OUT OF THAT SEAT! I WILL DRAG YOU EVERY OPPORTUNITY I GET. SHOGA WEWE! UMBWA KABISA,1934971196946387094,Tue Jun 17 13:47:38 +0000 2025,8427,3328,149,26,A_Njambi,13488,,en,False
"“Leading a country is a privilege, not a business opportunity “ https://t.co/fapE2aNwmr",1871992471271731335,Wed Dec 25 18:52:39 +0000 2024,12533,3705,141,226,cecild84,66505,#WeAreAllAfricanStream ,en,False
"Yaw Dabo, one of the smartest guys you never underrate. Always will steal an opportunity to pitch his business https://t.co/FLso96j5Yg",1984000144522801606,Thu Oct 30 20:51:10 +0000 2025,14886,1306,107,29,SaddickAdams,1268850,"Accra, Ghana",en,False
"the american flag colors, all black dancers, samuel l jackson as uncle sam. LIKE WHY ARENT WE TALKING ABOUT THIS. i get the a minor shit is cool but kendrick actually used this opportunity to say something, that is so unbelievably huge.",1888781771539353652,Mon Feb 10 02:47:20 +0000 2025,456448,46585,2595,1284,_itmedumbo,365,"Toronto, Ontario",en,False
"This is an opportunity to put them out of business.
Open your own restaurant and drastically drop the price...
Abi don't you want to make money?",1974493862748885039,Sat Oct 04 15:16:35 +0000 2025,7495,1890,169,54,MrWalexzy,4905,Aba-Osun- Home of Krones ,en,False
"I awoke this morning gravely concerned about New York City. I thought “What has NYC become that an avowed socialist who has supported defunding the police, whose solution to lowering food prices is city-owned supermarkets, who doesn’t understand that freezing rents will only",1938094628034506984,Thu Jun 26 04:39:02 +0000 2025,31171,4585,5781,1482,BillAckman,2404744,"New York, NY",en,False
"Justice Alito is right.

The (liberal) district judge has no authority to order @POTUS Trump to send billions of dollars overseas.

The Supreme Court missed a huge opportunity to put a stop to rogue district courts interfering with executive branch operations.

Now, this decision",1897343410882703682,Wed Mar 05 17:48:14 +0000 2025,81776,17153,5233,747,GovRonDeSantis,6021735,,en,False
"The country is 100% behind the president on fixing a global system of tariffs that has disadvantaged the country. But, business is a confidence game and confidence depends on trust. 

President @realDonaldTrump has elevated the tariff issue to the most important geopolitical",1908992002366292286,Sun Apr 06 21:15:35 +0000 2025,37126,5675,10248,2647,BillAckman,2404744,"New York, NY",en,False
"I shared this note with the Washington Post team this morning:

I’m writing to let you know about a change coming to our opinion pages. 
 
We are going to be writing every day in support and defense of two pillars: personal liberties and free markets. We’ll cover other topics too",1894757287052362088,Wed Feb 26 14:31:54 +0000 2025,142951,16366,27175,13119,JeffBezos,8293933,,en,False
"On the way. 

I will help register to vote as many of the attendees tomorrow as humanly possible. 

Thank you, @tylerbowyer, for the opportunity. Let’s get thousands of new voters registered. 

For Charlie. https://t.co/K5vL05sRM7",1969406445239353628,Sat Sep 20 14:21:01 +0000 2025,108546,12746,4652,421,ScottPresler,2490606,Make Kindness Cool Again,en,False
This woman may have ruined some lives today because she couldn't mind her business,1871359898812064231,Tue Dec 24 00:59:02 +0000 2024,343400,16265,1316,261,Mae_DayJ,6554,in bed,en,False
"The reason government programs are so inefficient is that, unlike a commercial company, the feedback loop for improvement is broken, because they have a state-mandated monopoly and can’t go out of business if customers are unhappy.

No matter how bad the service is at your DMV",1986836508092080197,Fri Nov 07 16:41:51 +0000 2025,289883,39944,22004,3050,elonmusk,240218714,,en,False
"I just arrived in the UK this morning, on Air Peace from Lagos to London. I have now taken almost a dozen flights to or from London on this airline. I want to sincerely thank the management and staff of Air Peace for their professionalism, consistency, and competence on this https://t.co/II3auBiGVx",1933806049477210244,Sat Jun 14 08:37:45 +0000 2025,34699,7136,3070,875,PeterObi,5586044,Nigeria,en,False
"Colossal Biosciences raised $200M at a $10.2B post to bring back animals from extinction

They're on track for a Woolly Mammoth calf in 2028, and are also working on the dodo and Tasmanian tiger

This is super cool but beyond my pay grade... what is the business opportunity? https://t.co/rCKOQJH5RQ",1879675718621356308,Wed Jan 15 23:43:08 +0000 2025,7417,405,1768,601,pitdesi,198988,"San Francisco, CA",en,False
"So. Tony Blair foundation receives a donation of almost £300,000,000 from Larry Ellison (Oracle) and then Blair has meetings with the Business Secretary and the Chancellor and next thing Digital ID’s are becoming a thing. Guess what, Oracle are the preferred vendor. 

This reeks https://t.co/Ut9ZKp8NLm",1972315056885977201,Sun Sep 28 14:58:48 +0000 2025,13530,5090,450,233,SteveAReformUK,7525,,en,False
"SOUTH AFRICA-CHINA TRADE JUMPS

The economic relationship between South Africa and China has experienced remarkable growth.

1/ Bilateral trade reached an impressive $52.5-billion (R970-billion) in 2024, making South Africa a key player in China’s African trade strategy, https://t.co/syFobxQaMh",1889179305889947857,Tue Feb 11 05:07:00 +0000 2025,4674,1041,228,108,businessXplain,52477,Africa,en,False
"South Africa is hosting the G20 Foreign Ministers' Meeting in Johannesburg today.

US Secretary of State, Marco Rubio will not attend the meeting.

G20 members include Argentina, Australia, Brazil, Canada, China, France, Germany, India, Indonesia, Italy, Japan, Mexico, Russia, https://t.co/TPZz7UDkI5",1893037920388620555,Fri Feb 21 20:39:45 +0000 2025,2857,334,109,12,AfricaFactsZone,1366958,Africa,en,False
"🇿🇦South Africa is a member of G20 and to remove South Africa from the G20 or to uninvite South Africa to a G20 summit you would need the consensus of all 18 other member states.

See y’all in Miami next year!",1992865778635596184,Mon Nov 24 08:00:01 +0000 2025,5678,620,77,17,Jake_Romani_,1224,South Africa,en,False
Minister @melaniejoly   thank you for the telecon looking forward to further engagements and welcoming you to Johannesburg for the G20 Foreign Ministers Meeting. Canada and South Africa share common a commitment to human rights and solidarity. https://t.co/HuIpzf6iR6,1889694705887195497,Wed Feb 12 15:15:01 +0000 2025,5086,710,288,102,RonaldLamola,202402,South Africa,en,False
"Cyril wants to Resign because he has achieved his mission:  he has sold our country to foreign nations.

The country in 10 Trillion in Debt 

The G20 countries have pledged billions of rands  for a piece of South Africa Each, including taking all minerals 

The DA has power over https://t.co/vAk85Lux2U",1990360410063536228,Mon Nov 17 10:04:35 +0000 2025,6003,1619,294,68,Knick_RSA,26692,South Africa,en,False
"US President Trump says South Africa won't be invited to the 2026 G20 Summit in Miami, Florida. He also stopped all US subsidies to SA.

The South African Government responded to the statement, saying it doesn't appreciate the insult. South Africa is a founding member of the G20.",1993960864152752612,Thu Nov 27 08:31:30 +0000 2025,2704,283,208,40,AfricaFactsZone,1366958,Africa,en,False
"Honored and glad for a nice meeting this morning with His Excllency Mr. Ronald Lamola, Minister of International Relations and Cooperation. We had great conversations on China-South Africa bilateral relations. I also expressed China's readiness to support South Africa's G20 https://t.co/dSneYQSLFD",1887432807133421765,Thu Feb 06 09:27:02 +0000 2025,4941,918,263,210,AmbWuPeng,58448,Pretoria,en,False
